# Created by Octave 4.2.0, Thu Feb 18 14:32:49 2021 CET <marcos@encina>
# name: X282100
# type: matrix
# rows: 552
# columns: 2
 197501 10158
 197502 8067
 197503 7146
 197504 8936
 197505 8071
 197506 7834
 197507 7830
 197508 6682
 197509 7504
 197510 8073
 197511 6867
 197512 5911
 197601 9264
 197602 7558
 197603 8131
 197604 8239
 197605 8501
 197606 7712
 197607 8794
 197608 5825
 197609 7149
 197610 7913
 197611 7834
 197612 5788
 197701 10961
 197702 8791
 197703 10209
 197704 8677
 197705 9168
 197706 8751
 197707 8810
 197708 6620
 197709 7254
 197710 8464
 197711 8397
 197712 6326
 197801 10417
 197802 8883
 197803 8730
 197804 10175
 197805 9846
 197806 9682
 197807 8457
 197808 7173
 197809 7833
 197810 9165
 197811 8197
 197812 6173
 197901 11077
 197902 8537
 197903 9584
 197904 8291
 197905 10744
 197906 9422
 197907 9012
 197908 7050
 197909 6815
 197910 9608
 197911 10070
 197912 6367
 198001 10837
 198002 10272
 198003 9783
 198004 9557
 198005 10147
 198006 8413
 198007 9220
 198008 6646
 198009 7162
 198010 9001
 198011 8200
 198012 6230
 198101 8973
 198102 7873
 198103 7688
 198104 7790
 198105 8426
 198106 7926
 198107 9355
 198108 6302
 198109 7049
 198110 7868
 198111 7112
 198112 5254
 198201 9731
 198202 8633
 198203 9898
 198204 9338
 198205 8985
 198206 7973
 198207 7515
 198208 6465
 198209 7092
 198210 7808
 198211 9730
 198212 8913
 198301 10867
 198302 8958
 198303 10562
 198304 9114
 198305 10375
 198306 8943
 198307 9520
 198308 8403
 198309 8593
 198310 9311
 198311 9527
 198312 8413
 198401 12087
 198402 8683
 198403 8703
 198404 8399
 198405 9799
 198406 7833
 198407 8586
 198408 6762
 198409 7245
 198410 10497
 198411 9096
 198412 6644
 198501 11866
 198502 9840
 198503 9851
 198504 9915
 198505 10569
 198506 9429
 198507 11945
 198508 8245
 198509 8176
 198510 13286
 198511 12722
 198512 14049
 198601 9578
 198602 10799
 198603 12022
 198604 13973
 198605 13325
 198606 13734
 198607 15391
 198608 10550
 198609 11275
 198610 17967
 198611 15882
 198612 14921
 198701 16222
 198702 16042
 198703 18251
 198704 18050
 198705 17220
 198706 17496
 198707 20706
 198708 12703
 198709 13885
 198710 19533
 198711 20187
 198712 18269
 198801 19799
 198802 21094
 198803 23025
 198804 18588
 198805 21249
 198806 22123
 198807 22195
 198808 17388
 198809 18130
 198810 21363
 198811 22466
 198812 18200
 198901 26034
 198902 23650
 198903 24697
 198904 23818
 198905 22685
 198906 25685
 198907 24833
 198908 18598
 198909 19199
 198910 23455
 198911 23581
 198912 20315
 199001 25821
 199002 22532
 199003 25320
 199004 21402
 199005 24899
 199006 24011
 199007 25048
 199008 17588
 199009 16367
 199010 23288
 199011 21646
 199012 16951
 199101 21781
 199102 19744
 199103 19608
 199104 21026
 199105 21134
 199106 20758
 199107 22377
 199108 15446
 199109 15771
 199110 22043
 199111 20331
 199112 19755
 199201 21433
 199202 20956
 199203 22909
 199204 21924
 199205 20010
 199206 21968
 199207 23746
 199208 12482
 199209 15103
 199210 19637
 199211 18994
 199212 20858
 199301 11017
 199302 13900
 199303 16364
 199304 14230
 199305 13857
 199306 14690
 199307 16327
 199308 11531
 199309 11510
 199310 13400
 199311 13903
 199312 14490
 199401 11667
 199402 13659
 199403 14869
 199404 14040
 199405 14637
 199406 15382
 199407 14944
 199408 12057
 199409 12644
 199410 15526
 199411 16382
 199412 19374
 199501 13278
 199502 14588
 199503 18697
 199504 14868
 199505 17799
 199506 18367
 199507 16688
 199508 12663
 199509 12530
 199510 16032
 199511 16553
 199512 16885
 199601 14795
 199602 15212
 199603 16787
 199604 16539
 199605 18505
 199606 16852
 199607 18761
 199608 12662
 199609 14906
 199610 21153
 199611 19422
 199612 21145
 199701 18788
 199702 17849
 199703 19840
 199704 22584
 199705 21729
 199706 21899
 199707 24982
 199708 15855
 199709 17121
 199710 24066
 199711 21211
 199712 22854
 199801 20152
 199802 21577
 199803 24728
 199804 23892
 199805 22403
 199806 25256
 199807 27820
 199808 17873
 199809 19624
 199810 24935
 199811 26430
 199812 26970
 199901 23603
 199902 26941
 199903 31770
 199904 27494
 199905 29362
 199906 31900
 199907 33125
 199908 21300
 199909 23386
 199910 26856
 199911 30742
 199912 29016
 200001 25257
 200002 29047
 200003 34127
 200004 26153
 200005 29911
 200006 31659
 200007 28631
 200008 20427
 200009 21388
 200010 27079
 200011 28101
 200012 22142
 200101 24624
 200102 26856
 200103 30407
 200104 25266
 200105 28221
 200106 28201
 200107 27398
 200108 19140
 200109 19837
 200110 26311
 200111 26183
 200112 23753
 200201 22906
 200202 22323
 200203 21657
 200204 25031
 200205 27033
 200206 25024
 200207 28214
 200208 18056
 200209 19200
 200210 28026
 200211 25317
 200212 25051
 200301 24246
 200302 24787
 200303 28419
 200304 27338
 200305 28348
 200306 29591
 200307 32909
 200308 20393
 200309 22812
 200310 31617
 200311 28395
 200312 27714
 200401 26046
 200402 28485
 200403 34432
 200404 30378
 200405 31874
 200406 34187
 200407 34193
 200408 22837
 200409 26202
 200410 30719
 200411 34036
 200412 31255
 200501 29971
 200502 30766
 200503 36384
 200504 37555
 200505 37334
 200506 38784
 200507 37645
 200508 27926
 200509 29267
 200510 31217
 200511 37712
 200512 38135
 200601 28215
 200602 32737
 200603 43356
 200604 32997
 200605 39688
 200606 40765
 200607 38294
 200608 28445
 200609 28572
 200610 34320
 200611 37645
 200612 33988
 200701 33956
 200702 30708
 200703 41423
 200704 33562
 200705 38339
 200706 39059
 200707 39890
 200708 27149
 200709 25373
 200710 35728
 200711 34603
 200712 40595
 200801 23416
 200802 26453
 200803 24921
 200804 27794
 200805 23816
 200806 21559
 200807 21296
 200808 11643
 200809 13143
 200810 16320
 200811 12738
 200812 13827
 200901 10888
 200902 10901
 200903 13769
 200904 11533
 200905 11091
 200906 12564
 200907 13252
 200908 8488
 200909 10126
 200910 13182
 200911 12652
 200912 13694
 201001 10392
 201002 12370
 201003 15807
 201004 13599
 201005 14449
 201006 15664
 201007 12243
 201008 7688
 201009 9793
 201010 12659
 201011 13536
 201012 13870
 201101 10323
 201102 12042
 201103 15370
 201104 11985
 201105 13262
 201106 13565
 201107 12178
 201108 8549
 201109 10710
 201110 11769
 201111 10321
 201112 11909
 201201 8531
 201202 9860
 201203 12139
 201204 8973
 201205 9502
 201206 10001
 201207 9517
 201208 6291
 201209 6847
 201210 9648
 201211 8726
 201212 7657
 201301 6907
 201302 7271
 201303 9038
 201304 8795
 201305 9097
 201306 10257
 201307 10615
 201308 6256
 201309 7879
 201310 11094
 201311 10017
 201312 10365
 201401 9370
 201402 10046
 201403 11234
 201404 12792
 201405 12293
 201406 11996
 201407 12941
 201408 7339
 201409 9533
 201410 15091
 201411 11382
 201412 13525
 201501 11308
 201502 12858
 201503 17938
 201504 14872
 201505 15622
 201506 17734
 201507 16829
 201508 10098
 201509 13335
 201510 17542
 201511 16164
 201512 15952
 201601 12749
 201602 14411
 201603 15555
 201604 16835
 201605 17231
 201606 18310
 201607 16039
 201608 12129
 201609 15366
 201610 17070
 201611 18021
 201612 17565
 201701 14866
 201702 14528
 201703 20009
 201704 15450
 201705 19047
 201706 19403
 201707 18147
 201708 13552
 201709 16085
 201710 19557
 201711 20272
 201712 16699
 201801 17909
 201802 17949
 201803 19507
 201804 19607
 201805 21331
 201806 21963
 201807 20940
 201808 17528
 201809 15177
 201810 20570
 201811 19139
 201812 18401
 201901 18357
 201902 17921
 201903 19657
 201904 19038
 201905 20616
 201906 20784
 201907 19471
 201908 15702
 201909 14128
 201910 20011
 201911 18208
 201912 16958
 202001 15418
 202002 16169
 202003 7821
 202004 2537
 202005 9091
 202006 16730
 202007 20395
 202008 12794
 202009 15927
 202010 18724
 202011 17711
 202012 17521


