# Created by Octave 4.2.0, Thu Feb 18 14:32:49 2021 CET <marcos@encina>
# name: X230100
# type: matrix
# rows: 349
# columns: 2
 199111 4174
 199112 4781
 199201 5191
 199202 4686
 199203 4888
 199204 4881
 199205 5898
 199206 2328
 199207 3759
 199208 4141
 199209 4150
 199210 3948
 199211 3649
 199212 4408
 199301 4884
 199302 3987
 199303 4355
 199304 4442
 199305 5005
 199306 2458
 199307 3610
 199308 3843
 199309 4037
 199310 3910
 199311 3475
 199312 4212
 199401 5222
 199402 4744
 199403 5098
 199404 5385
 199405 5507
 199406 3193
 199407 4405
 199408 4881
 199409 5240
 199410 5170
 199411 4601
 199412 5019
 199501 6227
 199502 4802
 199503 5651
 199504 5194
 199505 5338
 199506 2948
 199507 5338
 199508 2948
 199509 4104
 199510 4789
 199511 4988
 199512 3866
 199601 4441
 199602 4643
 199603 5047
 199604 4832
 199605 5257
 199606 4668
 199607 6162
 199608 2994
 199609 4310
 199610 5287
 199611 4730
 199612 4557
 199701 4720
 199702 5073
 199703 4830
 199704 5887
 199705 5372
 199706 5700
 199707 7105
 199708 3509
 199709 5478
 199710 6829
 199711 6081
 199712 6156
 199801 5269
 199802 5909
 199803 6895
 199804 6657
 199805 7335
 199806 7469
 199807 8823
 199808 4087
 199809 6287
 199810 6992
 199811 7307
 199812 6773
 199901 6303
 199902 7519
 199903 9095
 199904 7812
 199905 8532
 199906 8631
 199907 9187
 199908 5117
 199909 6981
 199910 7059
 199911 8223
 199912 6825
 200001 6659
 200002 8492
 200003 9375
 200004 7787
 200005 9833
 200006 8048
 200007 7985
 200008 5027
 200009 6211
 200010 6853
 200011 7671
 200012 5948
 200101 6875
 200102 7113
 200103 8107
 200104 6446
 200105 7745
 200106 7507
 200107 8668
 200108 4689
 200109 5515
 200110 7248
 200111 7055
 200112 5834
 200201 6525
 200202 6713
 200203 6712
 200204 7376
 200205 7563
 200206 6775
 200207 8628
 200208 4656
 200209 6110
 200210 7766
 200211 7001
 200212 6744
 200301 7307
 200302 7688
 200303 8083
 200304 7996
 200305 8608
 200306 8002
 200307 10269
 200308 4918
 200309 7269
 200310 8583
 200311 7778
 200312 7975
 200401 7123
 200402 8434
 200403 9512
 200404 8346
 200405 9256
 200406 9629
 200407 10896
 200408 5642
 200409 7939
 200410 8108
 200411 8968
 200412 8268
 200501 7626
 200502 9202
 200503 9535
 200504 9483
 200505 9926
 200506 10325
 200507 10411
 200508 5775
 200509 8402
 200510 8596
 200511 9442
 200512 8854
 200601 8442
 200602 9100
 200603 10583
 200604 7866
 200605 10523
 200606 10431
 200607 10900
 200608 7186
 200609 14727
 200610 8834
 200611 7868
 200612 6581
 200701 7555
 200702 8016
 200703 12185
 200704 7136
 200705 7815
 200706 7232
 200707 7658
 200708 4796
 200709 6016
 200710 6669
 200711 6244
 200712 5035
 200801 5413
 200802 5468
 200803 4812
 200804 5800
 200805 4600
 200806 4334
 200807 4761
 200808 2338
 200809 3377
 200810 3928
 200811 3207
 200812 2921
 200901 2321
 200902 2611
 200903 3018
 200904 2867
 200905 2814
 200906 2874
 200907 3094
 200908 1747
 200909 2448
 200910 2644
 200911 2667
 200912 2490
 201001 1808
 201002 2496
 201003 2723
 201004 2593
 201005 2796
 201006 3131
 201007 3030
 201008 1774
 201009 2482
 201010 2047
 201011 2479
 201012 2356
 201101 1737
 201102 2047
 201103 2485
 201104 2208
 201105 2440
 201106 2358
 201107 2311
 201108 1443
 201109 1894
 201110 1892
 201111 1878
 201112 1592
 201201 1557
 201202 1741
 201203 1832
 201204 1509
 201205 1714
 201206 1671
 201207 1750
 201208 1102
 201209 1375
 201210 1492
 201211 1406
 201212 1140
 201301 1267
 201302 1336
 201303 1262
 201304 1395
 201305 1425
 201306 1285
 201307 1539
 201308 784
 201309 1161
 201310 1404
 201311 1167
 201312 1000
 201401 1160
 201402 1259
 201403 1434
 201404 1189
 201405 1430
 201406 1307
 201407 1691
 201408 815
 201409 1237
 201410 1354
 201411 1093
 201412 965
 201501 1376
 201502 1355
 201503 1512
 201504 1553
 201505 1586
 201506 1775
 201507 1821
 201508 950
 201509 1585
 201510 1544
 201511 1479
 201512 1379
 201601 1326
 201602 1672
 201603 1679
 201604 1653
 201605 1706
 201606 1810
 201607 1759
 201608 1118
 201609 1629
 201610 1707
 201611 1699
 201612 1527
 201701 1645
 201702 1912
 201703 2150
 201704 1626
 201705 2042
 201706 2095
 201707 2196
 201708 1306
 201709 1761
 201710 1769
 201711 1896
 201712 1643
 201801 1793
 201802 1926
 201803 2123
 201804 1964
 201805 2287
 201806 2146
 201807 2406
 201808 1376
 201809 1925
 201810 2304
 201811 2167
 201812 1758
 201901 2070
 201902 2105
 201903 2347
 201904 2154
 201905 2351
 201906 2112
 201907 2449
 201908 1347
 201909 2042
 201910 2281
 201911 1941
 201912 1748
 202001 1994
 202002 1937
 202003 1720
 202004 1428
 202005 1639
 202006 2008
 202007 2035
 202008 1398
 202009 2301
 202010 2192
 202011 2191


