# Created by Octave 4.2.0, Sun Feb 12 12:20:49 2023 CET <marcos@encina>
# name: X236000
# type: matrix
# rows: 708
# columns: 2
 196401 787.1
 196402 806.2
 196403 780.1
 196404 795.7
 196405 832.2
 196406 811.4
 196407 849.6
 196408 823.5
 196409 847.9
 196410 851.3
 196411 865.2
 196412 867
 196501 887.8
 196502 880.9
 196503 901.7
 196504 908.7
 196505 898.3
 196506 936.5
 196507 969.5
 196508 990.3
 196509 990
 196510 986.9
 196511 1014.7
 196512 1023.6
 196601 1039
 196602 1042.5
 196603 1079
 196604 1068.5
 196605 1082.4
 196606 1085.9
 196607 1099.8
 196608 1096.3
 196609 1105
 196610 1122.4
 196611 1118.9
 196612 1113.7
 196701 1122.4
 196702 1132.8
 196703 1134.5
 196704 1209.3
 196705 1165.8
 196706 1184.9
 196707 1155.4
 196708 1151.9
 196709 1190.1
 196710 1280.5
 196711 1176.2
 196712 1167.6
 196801 1237.1
 196802 1266.6
 196803 1237.1
 196804 1252.7
 196805 1278.8
 196806 1237.1
 196807 1259.6
 196808 1257.9
 196809 1268.3
 196810 1323.9
 196811 1329.1
 196812 1336.1
 196901 1323.9
 196902 1313.5
 196903 1327.4
 196904 1310
 196905 1356.9
 196906 1351.7
 196907 1341.3
 196908 1367.4
 196909 1376.1
 196910 1398.6
 196911 1384.7
 196912 1370.8
 197001 1171
 197002 1296.1
 197003 1339.6
 197004 1607.1
 197005 1395.2
 197006 1443.8
 197007 1445.6
 197008 1402.1
 197009 1461.2
 197010 1454.2
 197011 1396.9
 197012 1160.6
 197101 1087.6
 197102 1257.9
 197103 1419.5
 197104 1383
 197105 1393.4
 197106 1417.8
 197107 1555
 197108 1443.8
 197109 1447.3
 197110 1391.7
 197111 1445.6
 197112 1362.2
 197201 1224.9
 197202 1367.4
 197203 1610.6
 197204 1622.8
 197205 1638.4
 197206 1603.7
 197207 1593.2
 197208 1772.2
 197209 1673.2
 197210 1640.1
 197211 1667.9
 197212 1457.7
 197301 1565.4
 197302 1659.3
 197303 1874.7
 197304 1737.4
 197305 1890.3
 197306 1918.1
 197307 1846.9
 197308 1897.3
 197309 1827.8
 197310 1914.7
 197311 1886.9
 197312 1588
 197401 1824.3
 197402 1720.1
 197403 1850.4
 197404 1925.1
 197405 2057.1
 197406 1827.8
 197407 1869.5
 197408 1843.4
 197409 1817.4
 197410 2012
 197411 1798.3
 197412 1601.9
 197501 1606.9
 197502 1637.4
 197503 1564.8
 197504 1913
 197505 1822.7
 197506 1869.4
 197507 1763.3
 197508 1620.9
 197509 1823.6
 197510 2005.6
 197511 1671.8
 197512 1549.9
 197601 1527
 197602 1539
 197603 2006
 197604 1789
 197605 1854
 197606 1783
 197607 1897
 197608 1742
 197609 1868
 197610 1810
 197611 1842
 197612 1636
 197701 1491
 197702 1649
 197703 2047
 197704 1738
 197705 1970
 197706 1919
 197707 1765
 197708 1829
 197709 1957
 197710 1832
 197711 1915
 197712 1598
 197801 1672
 197802 1671
 197803 1818
 197804 1872
 197805 1930
 197806 2072
 197807 1861
 197808 1847
 197809 1944
 197810 1974
 197811 1976
 197812 1391
 197901 1596
 197902 1573
 197903 1840
 197904 1684
 197905 1999
 197906 1829
 197907 1869
 197908 1703
 197909 1674
 197910 1788
 197911 1774
 197912 1444
 198001 1637
 198002 1656
 198003 1691
 198004 1670
 198005 1748
 198006 1659
 198007 1830
 198008 1466
 198009 1697
 198010 1786
 198011 1559
 198012 1326
 198101 1344
 198102 1456
 198103 1776
 198104 1455
 198105 1584
 198106 1615
 198107 1734
 198108 1474
 198109 1568
 198110 1581
 198111 1616
 198112 1284
 198201 1238
 198202 1414
 198203 1693
 198204 1553
 198205 1662
 198206 1582
 198207 1680
 198208 1576
 198209 1634
 198210 1491
 198211 1559
 198212 1446
 198301 1387
 198302 1297
 198303 1704
 198304 1543
 198305 1694
 198306 1586
 198307 1516
 198308 1525
 198309 1506
 198310 1446
 198311 1396.3
 198312 1323
 198401 1290.23
 198402 1298.67
 198403 1347.85
 198404 1307.35
 198405 1447.45
 198406 1404.76
 198407 1453.86
 198408 1427.78
 198409 1329.34
 198410 1480.62
 198411 1284.45
 198412 1165.89
 198501 1022.47
 198502 1179.35
 198503 1303.09
 198504 1342.36
 198505 1506.85
 198506 1343.28
 198507 1522.78
 198508 1387.26
 198509 1478.13
 198510 1690.67
 198511 1392.9
 198512 1376.18
 198601 1206.18
 198602 1251.39
 198603 1351.08
 198604 1659.19
 198605 1578
 198606 1646.64
 198607 1707.84
 198608 1445.2
 198609 1641.86
 198610 1742.8
 198611 1566.02
 198612 1440.44
 198701 1175.68
 198702 1431.57
 198703 1777.87
 198704 1674.56
 198705 1890.01
 198706 1860.9
 198707 1988.16
 198708 1645.35
 198709 1798.53
 198710 1737.38
 198711 1782.15
 198712 1473.6
 198801 1380.29
 198802 1731.17
 198803 2012.86
 198804 1769.88
 198805 2011.04
 198806 2006.82
 198807 1916.6
 198808 1980.67
 198809 2053.6
 198810 1982.8
 198811 2055.78
 198812 1769.1
 198901 1888.1
 198902 1964.6
 198903 2227.5
 198904 2129.9
 198905 2335.7
 198906 2460.6
 198907 2257.7
 198908 2194.6
 198909 2236.6
 198910 2382.9
 198911 2179.8
 198912 1769.3
 199001 2130.8
 199002 2230.611
 199003 2668.83
 199004 2179.451
 199005 2811.464
 199006 2550.408
 199007 2566.484
 199008 2364.226
 199009 2295.974
 199010 2488.536
 199011 2484.016
 199012 1800.866
 199101 2329.927
 199102 2152.457
 199103 2055.195
 199104 2649.745
 199105 2765.294
 199106 2530.316
 199107 2713.825
 199108 2159.161
 199109 2422.903
 199110 2736.209
 199111 2384.776
 199112 1897.435
 199201 2036.1
 199202 2154.24
 199203 2435.646
 199204 2184.2
 199205 2281.2
 199206 2329.3
 199207 2486.083
 199208 1930.293
 199209 2229.699
 199210 2081.39
 199211 2095.524
 199212 1807.461
 199301 1629.664
 199302 1843.188
 199303 2090.305
 199304 1988.758
 199305 1983.472
 199306 2093.478
 199307 2108.7
 199308 1754.417
 199309 1952.055
 199310 1733.984
 199311 1825.424
 199312 1647.582
 199401 1515.704
 199402 1727.992
 199403 2156.906
 199404 2004.573
 199405 2098.605
 199406 2194.751
 199407 2043.161
 199408 2039.778
 199409 2146.917
 199410 2022.577
 199411 2123.496
 199412 1963.316
 199501 1842.16
 199502 1956.525
 199503 2444.822
 199504 2028.58
 199505 2432.15
 199506 2359.736
 199507 2192.322
 199508 2024.013
 199509 2081.34
 199510 2209.425
 199511 2168.66
 199512 1718.589
 199601 1811.433
 199602 1819.677
 199603 2045.576
 199604 2129.115
 199605 2261.466
 199606 2135.107
 199607 2306.712
 199608 2024.464
 199609 2224.72
 199610 2356.56
 199611 2001.525
 199612 1610.588
 199701 1729.176
 199702 1835.025
 199703 2153.364
 199704 2462.702
 199705 2416.029
 199706 2347.08
 199707 2673.144
 199708 2103.02
 199709 2454.664
 199710 2624.876
 199711 2097.033
 199712 1898.485
 199801 1964.004
 199802 2161.944
 199803 2733.523
 199804 2415.386
 199805 2573.014
 199806 2805.103
 199807 3034.563
 199808 2518.02
 199809 2791.667
 199810 2889.37
 199811 2783.205
 199812 2320.3
 199901 2315.411
 199902 2724.177
 199903 3152.774
 199904 2900.095
 199905 3037.345
 199906 3177.578
 199907 3091.295
 199908 2747.874
 199909 3028.06
 199910 2803.219
 199911 3090.982
 199912 2558.163
 200001 2601.039
 200002 3167.388
 200003 3612.254
 200004 2765.352
 200005 3437.371
 200006 3608.145
 200007 3428.749
 200008 3123.343
 200009 3388.446
 200010 3226.245
 200011 3409.164
 200012 2671.142
 200101 3026.024
 200102 3237.317
 200103 3612.589
 200104 3330.216
 200105 3926.48
 200106 3901.406
 200107 3869.354
 200108 3361.503
 200109 3451.149
 200110 4009.307
 200111 3679.101
 200112 2746.126
 200201 3499.144
 200202 3611.315
 200203 3368.787
 200204 3920.42
 200205 3939.344
 200206 3755.075
 200207 4251.708
 200208 3322.255
 200209 3755.225
 200210 4178.704
 200211 3645.608
 200212 2872.216
 200301 3320.721
 200302 3528.712
 200303 4037.199
 200304 3912.147
 200305 4140.88
 200306 4145.996
 200307 4482.656
 200308 3260.935
 200309 4091.431
 200310 4216.037
 200311 3890.687
 200312 3195.823
 200401 3421.53
 200402 3760.48
 200403 4311.07
 200404 3906.34
 200405 4109.94
 200406 4474.87
 200407 4437.57
 200408 3548.34
 200409 4293.93
 200410 3960.29
 200411 4387
 200412 3391.75
 200501 3427.643
 200502 3864.829
 200503 4340.205
 200504 4703.95
 200505 4710.611
