# Created by Octave 4.2.0, Sun Feb 12 12:20:49 2023 CET <marcos@encina>
# name: X332100
# type: matrix
# rows: 440
# columns: 2
 198606 -18.1
 198607 -14.2
 198608 -16.5
 198609 -16.3
 198610 -16.6
 198611 -16.6
 198612 -15.6
 198701 -18.5
 198702 -19.2
 198703 -20.3
 198704 -19.4
 198705 -19.1
 198706 -15.8
 198707 -16.9
 198708 -14.9
 198709 -13.5
 198710 -11.1
 198711 -13.8
 198712 -13.3
 198801 -13.4
 198802 -10.4
 198803 -9.9
 198804 -8.9
 198805 -7.6
 198806 -8.5
 198807 -6.6
 198808 -7
 198809 -7.2
 198810 -8.199999999999999
 198811 -7.1
 198812 -8.5
 198901 -5.1
 198902 -7.4
 198903 -7.6
 198904 -5.4
 198905 -4.7
 198906 -1.8
 198907 -4.3
 198908 -2
 198909 -4.2
 198910 -0.6
 198911 -2.2
 198912 -2.4
 199001 -1.4
 199002 -1.4
 199003 -3.8
 199004 -2.4
 199005 -2.5
 199006 -4.2
 199007 -1.2
 199008 -3.6
 199009 -19.8
 199010 -17.9
 199011 -13.9
 199012 -11.9
 199101 -13.1
 199102 -10.3
 199103 -7.3
 199104 -9.5
 199105 -6.8
 199106 -8.199999999999999
 199107 -7.4
 199108 -9.6
 199109 -7.9
 199110 -11.9
 199111 -13.3
 199112 -16.4
 199201 -17
 199202 -18.8
 199203 -22.7
 199204 -21.7
 199205 -26.1
 199206 -29.4
 199207 -31.6
 199208 -39.8
 199209 -39.2
 199210 -42.1
 199211 -42.7
 199212 -47.4
 199301 -44.2
 199302 -51.1
 199303 -51
 199304 -50.8
 199305 -50.1
 199306 -54.1
 199307 -52.6
 199308 -58.1
 199309 -53.6
 199310 -58.6
 199311 -58.5
 199312 -57.4
 199401 -57.5
 199402 -53.5
 199403 -51.8
 199404 -52.4
 199405 -48.7
 199406 -45.4
 199407 -41.4
 199408 -41.9
 199409 -37.1
 199410 -36.6
 199411 -35.4
 199412 -33.9
 199501 -37.3
 199502 -35.6
 199503 -41.4
 199504 -37.5
 199505 -32.9
 199506 -36.8
 199507 -36.5
 199508 -34.7
 199509 -33.2
 199510 -36.2
 199511 -31.7
 199512 -33.6
 199601 -28.5
 199602 -29.6
 199603 -22.6
 199604 -23.6
 199605 -23.5
 199606 -20.6
 199607 -21.5
 199608 -19.2
 199609 -19.2
 199610 -16.1
 199611 -17.7
 199612 -13.9
 199701 -8.5
 199702 -9.4
 199703 -8.1
 199704 -5.4
 199705 -2.4
 199706 -0.2
 199707 0.6
 199708 2.1
 199709 1
 199710 0.9
 199711 2
 199712 2.8
 199801 2.3
 199802 2.3
 199803 2.9
 199804 4.2
 199805 4.4
 199806 4.2
 199807 5.3
 199808 3
 199809 5.3
 199810 4.7
 199811 5.9
 199812 5.8
 199901 6.3
 199902 7.1
 199903 6.4
 199904 5.2
 199905 6.9
 199906 6.7
 199907 8.1
 199908 7.8
 199909 8.1
 199910 9.5
 199911 8.699999999999999
 199912 7.9
 200001 9.199999999999999
 200002 8.800000000000001
 200003 9.9
 200004 9.4
 200005 7.7
 200006 7.1
 200007 6.7
 200008 6.1
 200009 1
 200010 -0.4
 200011 -0.9
 200012 -0.1
 200101 -0.9
 200102 -1.4
 200103 -0.8
 200104 -3.4
 200105 -1.9
 200106 -3.1
 200107 -3.8
 200108 -2.9
 200109 -3.9
 200110 -3.7
 200111 -5.6
 200112 -5.4
 200201 -6.4
 200202 -7.9
 200203 -9.5
 200204 -11.1
 200205 -11.4
 200206 -14.3
 200207 -15.3
 200208 -16.9
 200209 -16.1
 200210 -18.4
 200211 -17.5
 200212 -23.5
 200301 -22.2
 200302 -22.8
 200303 -22.4
 200304 -19.2
 200305 -20.2
 200306 -16.1
 200307 -18.3
 200308 -17.5
 200309 -15.4
 200310 -18.6
 200311 -17.4
 200312 -15.2
 200401 -16.6
 200402 -13.8
 200403 -15.2
 200404 -13.6
 200405 -13.7
 200406 -16
 200407 -14.7
 200408 -16.8
 200409 -15.4
 200410 -16.1
 200411 -16.6
 200412 -15.6
 200501 -15.7
 200502 -16.2
 200503 -17
 200504 -17.2
 200505 -16.4
 200506 -17.3
 200507 -16.8
 200508 -17
 200509 -19
 200510 -20.9
 200511 -20.6
 200512 -18.8
 200601 -19
 200602 -21.4
 200603 -20.4
 200604 -20.3
 200605 -19.4
 200606 -21.5
 200607 -22.5
 200608 -20.1
 200609 -20.1
 200610 -19.3
 200611 -18.2
 200612 -19.9
 200701 -20.4
 200702 -18.7
 200703 -18.1
 200704 -20.8
 200705 -18.2
 200706 -19
 200707 -17.9
 200708 -21.6
 200709 -23
 200710 -25.5
 200711 -27.6
 200712 -30.3
 200801 -31.6
 200802 -35.2
 200803 -35.6
 200804 -37.9
 200805 -41.7
 200806 -46.9
 200807 -50.6
 200808 -50.4
 200809 -54.1
 200810 -57.7
 200811 -60.4
 200812 -61.1
 200901 -61.9
 200902 -66.2
 200903 -65.90000000000001
 200904 -68.7
 200905 -70.5
 200906 -71
 200907 -66.7
 200908 -69.2
 200909 -70.59999999999999
 200910 -70.09999999999999
 200911 -69.5
 200912 -67.5
 201001 -69.7
 201002 -67.5
 201003 -70.59999999999999
 201004 -66.3
 201005 -66
 201006 -62.7
 201007 -65.3
 201008 -61.7
 201009 -61.9
 201010 -61.3
 201011 -60
 201012 -63.9
 201101 -62.1
 201102 -60.2
 201103 -61.5
 201104 -59.1
 201105 -61
 201106 -62.1
 201107 -61.2
 201108 -65
 201109 -63.8
 201110 -68.7
 201111 -68.8
 201112 -69.7
 201201 -69
 201202 -71.7
