# Created by Octave 4.2.0, Sun Feb 12 12:20:49 2023 CET <marcos@encina>
# name: X331200
# type: matrix
# rows: 440
# columns: 2
 198606 2.7
 198607 2.8
 198608 3.5
 198609 2.8
 198610 2.5
 198611 2.9
 198612 1.8
 198701 2.2
 198702 2.1
 198703 1
 198704 -1.3
 198705 -2.2
 198706 0.4
 198707 1.7
 198708 4.6
 198709 4.2
 198710 2.4
 198711 1.2
 198712 0.7
 198801 3.5
 198802 3.2
 198803 3.4
 198804 3.1
 198805 5.9
 198806 3.3
 198807 4.9
 198808 8.4
 198809 5.6
 198810 6.4
 198811 3.9
 198812 4.2
 198901 5.7
 198902 4.7
 198903 2.7
 198904 3.6
 198905 3
 198906 5
 198907 3
 198908 6.4
 198909 5.6
 198910 5.3
 198911 5.7
 198912 8
 199001 4.5
 199002 4.1
 199003 4
 199004 3.5
 199005 1.8
 199006 3.8
 199007 5.5
 199008 5.6
 199009 -2.3
 199010 2.8
 199011 3.2
 199012 5.1
 199101 -1.8
 199102 2.9
 199103 6.1
 199104 4.1
 199105 6.6
 199106 3.6
 199107 4.6
 199108 4.5
 199109 4.2
 199110 4.2
 199111 3
 199112 -0.6
 199201 0
 199202 1.7
 199203 -1.4
 199204 -4.9
 199205 -4.4
 199206 -2.5
 199207 -6.3
 199208 -14.6
 199209 -14.4
 199210 -16.6
 199211 -12.8
 199212 -15
 199301 -12.6
 199302 -12.6
 199303 -10.5
 199304 -7.5
 199305 -4.8
 199306 -10.7
 199307 -5.6
 199308 -15.1
 199309 -8.800000000000001
 199310 -10.8
 199311 -13.4
 199312 -10
 199401 -12.8
 199402 -7.9
 199403 -6.6
 199404 -5.8
 199405 -3.1
 199406 -0.7
 199407 -1.1
 199408 -0.9
 199409 2
 199410 -0.7
 199411 1.3
 199412 1.8
 199501 -0.9
 199502 -1.6
 199503 -2.8
 199504 -2.9
 199505 -1.3
 199506 -2.7
 199507 -3.6
 199508 -2.7
 199509 -1.6
 199510 -2.3
 199511 -1.1
 199512 -1.6
 199601 3.2
 199602 1.3
 199603 1.3
 199604 1
 199605 1
 199606 1.2
 199607 -2.1
 199608 -1.8
 199609 -2.1
 199610 0.5
 199611 0
 199612 1.8
 199701 5.5
 199702 2.2
 199703 2.3
 199704 3.7
 199705 1.9
 199706 6
 199707 4.7
 199708 7.4
 199709 4.5
 199710 3.5
 199711 4.4
 199712 3.8
 199801 5.9
 199802 5.8
 199803 5.5
 199804 5
 199805 4.6
 199806 5.8
 199807 4.1
 199808 5
 199809 6.9
 199810 6.6
 199811 8.9
 199812 7.4
 199901 7.2
 199902 7.4
 199903 6.9
 199904 6.1
 199905 5.3
 199906 5.6
 199907 6.3
 199908 6.6
 199909 6.9
 199910 9.699999999999999
 199911 8.699999999999999
 199912 7.7
 200001 8.800000000000001
 200002 9.1
 200003 9
 200004 7.3
 200005 6.6
 200006 7.7
 200007 8.4
 200008 7.3
 200009 4.5
 200010 6.5
 200011 5.6
 200012 5.5
 200101 6.4
 200102 6.5
 200103 7.2
 200104 4.7
 200105 3.5
 200106 1.7
 200107 2.4
 200108 3.1
 200109 5.2
 200110 5.8
 200111 3.7
 200112 0.8
 200201 -0.6
 200202 2.7
 200203 -1.6
 200204 0
 200205 1.1
 200206 -0.5
 200207 -0.4
 200208 -2.9
 200209 0.8
 200210 1.2
 200211 0.5
 200212 -5.5
 200301 -3.6
 200302 -3.6
 200303 -3.4
 200304 -2.5
 200305 -1.5
 200306 0.3
 200307 -1.2
 200308 -0.1
 200309 1.3
