# Created by Octave 4.2.0, Sun Feb 12 12:20:49 2023 CET <marcos@encina>
# name: X230400
# type: matrix
# rows: 373
# columns: 2
 199111 21545
 199112 21491
 199201 17072
 199202 20768
 199203 22670
 199204 21442
 199205 22656
 199206 24722
 199207 29091
 199208 10238
 199209 17334
 199210 17343
 199211 18780
 199212 17865
 199301 16241
 199302 21925
 199303 22165
 199304 17968
 199305 19100
 199306 25358
 199307 25903
 199308 12516
 199309 16341
 199310 17752
 199311 20930
 199312 18665
 199401 16502
 199402 21928
 199403 24824
 199404 23032
 199405 26024
 199406 28036
 199407 30544
 199408 17715
 199409 24360
 199410 26300
 199411 29757
 199412 25265
 199501 25587
 199502 27009
 199503 36587
 199504 27803
 199505 34099
 199506 30805
 199507 32674
 199508 16909
 199509 23835
 199510 29274
 199511 26080
 199512 19599
 199601 25096
 199602 25304
 199603 25971
 199604 26819
 199605 26643
 199606 24089
 199607 34508
 199608 17378
 199609 22414
 199610 27971
 199611 26342
 199612 24027
 199701 24819
 199702 27731
 199703 25594
 199704 30005
 199705 26599
 199706 32601
 199707 39822
 199708 19356
 199709 28457
 199710 40525
 199711 35915
 199712 36835
 199801 28434
 199802 33547
 199803 37618
 199804 39215
 199805 39204
 199806 43308
 199807 53630
 199808 26540
 199809 36687
 199810 42615
 199811 41754
 199812 40547
 199901 35164
 199902 43229
 199903 51234
 199904 45772
 199905 54042
 199906 52877
 199907 59928
 199908 31009
 199909 43036
 199910 44545
 199911 51629
 199912 45795
 200001 43595
 200002 54378
 200003 59258
 200004 57278
 200005 67332
 200006 49364
 200007 56628
 200008 34521
 200009 39782
 200010 42395
 200011 49798
 200012 40491
 200101 44157
 200102 47032
 200103 52834
 200104 41627
 200105 49272
 200106 51216
 200107 59425
 200108 35683
 200109 39088
 200110 48195
 200111 50140
 200112 42503
 200201 44147
 200202 48187
 200203 43869
 200204 49147
 200205 51333
 200206 50135
 200207 60963
 200208 35658
 200209 45520
 200210 52848
 200211 47120
 200212 46618
 200301 50952
 200302 54115
 200303 59527
 200304 58873
 200305 62508
 200306 59468
 200307 78000
 200308 33179
 200309 51774
 200310 64051
 200311 57444
 200312 60315
 200401 47726
 200402 58207
 200403 69593
 200404 58570
 200405 66881
 200406 70402
 200407 86651
 200408 42966
 200409 56304
 200410 58533
 200411 64584
 200412 59241
 200501 51436
 200502 62760
 200503 67934
 200504 69025
 200505 71441
 200506 71347
 200507 77974
 200508 44464
 200509 68373
 200510 62099
 200511 70766
 200512 68638
 200601 64117
 200602 68143
 200603 81972
 200604 58652
 200605 80307
 200606 82512
 200607 90489
 200608 57951
 200609 130630
 200610 73482
 200611 65225
 200612 58088
 200701 62002
 200702 62333
 200703 102330
 200704 62129
 200705 63058
 200706 61750
 200707 58034
 200708 36436
 200709 47099
 200710 50723
 200711 47404
 200712 35553
 200801 32198
 200802 32889
 200803 30513
 200804 36458
 200805 26346
 200806 24825
 200807 26336
 200808 12733
 200809 19111
 200810 20014
 200811 18311
 200812 19817
 200901 11964
 200902 13022
 200903 14228
 200904 13292
 200905 12691
 200906 12178
 200907 14829
 200908 6975
 200909 11134
 200910 12793
 200911 12488
 200912 11046
 201001 8427
 201002 10380
 201003 13136
 201004 11254
 201005 11857
 201006 13673
 201007 12051
 201008 7048
 201009 10522
 201010 8449
 201011 10396
 201012 10350
 201101 8818
 201102 10764
 201103 10153
 201104 8612
 201105 9738
 201106 11874
 201107 10517
 201108 6085
 201109 10521
 201110 8204
 201111 7120
 201112 7460
 201201 6794
 201202 6864
 201203 7321
 201204 5793
 201205 6474
 201206 5962
 201207 6607
 201208 4146
 201209 5075
 201210 5365
 201211 5098
 201212 4157
 201301 4976
 201302 6176
 201303 4758
 201304 4840
 201305 4996
 201306 5171
 201307 6525
 201308 3021
 201309 4151
 201310 5219
 201311 4385
 201312 4522
 201401 4296
 201402 4591
 201403 5619
 201404 5030
 201405 5473
 201406 5229
 201407 7140
 201408 3401
 201409 4813
 201410 5595
 201411 4046
 201412 3543
 201501 5391
 201502 6122
 201503 5466
 201504 6703
 201505 6477
 201506 7068
 201507 8041
 201508 4229
 201509 6912
 201510 5977
 201511 7092
 201512 7064
 201601 6739
 201602 7964
 201603 8432
 201604 7121
 201605 9794
 201606 7409
 201607 8982
 201608 5018
 201609 7378
 201610 7787
 201611 8606
 201612 6905
 201701 8216
 201702 8622
 201703 10051
 201704 7147
 201705 10563
 201706 11375
 201707 11077
 201708 6173
 201709 9012
 201710 9899
 201711 9051
 201712 7861
 201801 8869
 201802 10447
 201803 10773
 201804 9415
 201805 12307
 201806 12243
 201807 15014
 201808 7412
 201809 9543
 201810 11345
 201811 11793
 201812 9638
 201901 11731
 201902 11758
 201903 12236
 201904 12189
 201905 12661
 201906 12110
 201907 15208
 201908 6863
 201909 10816
 201910 12212
 201911 9427
 201912 10165
 202001 10796
 202002 11551
 202003 8384
 202004 5899
 202005 8619
 202006 9767
 202007 9349
 202008 7190
 202009 11212
 202010 9845
 202011 11836
 202012 9316
 202101 9698
 202102 10465
 202103 11595
 202104 11945
 202105 11750
 202106 11702
 202107 12583
 202108 8084
 202109 14193
 202110 12482
 202111 13042
 202112 11236
 202201 10994
 202202 10709
 202203 13742
 202204 8575
 202205 10114
 202206 12232
 202207 11507
 202208 7854
 202209 12948
 202210 13292
 202211 13887


