# Created by Octave 4.2.0, Thu Feb 18 14:32:49 2021 CET <marcos@encina>
# name: X234100
# type: matrix
# rows: 383
# columns: 2
 198901 162846
 198902 118039
 198903 143365
 198904 160158
 198905 246559
 198906 254246
 198907 309401
 198908 216148
 198909 200071
 198910 356268
 198911 361671
 198912 186572
 199001 202096
 199002 175423
 199003 169990
 199004 165062
 199005 294526
 199006 320309
 199007 231997
 199008 294965
 199009 234954
 199010 349573
 199011 425523
 199012 204008
 199101 144351
 199102 213917
 199103 280982
 199104 277586
 199105 285424
 199106 204175
 199107 230619
 199108 204225
 199109 174142
 199110 243356
 199111 326711
 199112 123191
 199201 241842
 199202 126090
 199203 127606
 199204 117750
 199205 205802
 199206 249896
 199207 292077
 199208 314436
 199209 169417
 199210 330325
 199211 350942
 199212 295134
 199301 154593
 199302 210372
 199303 244126
 199304 258934
 199305 548256
 199306 355475
 199307 365382
 199308 281876
 199309 202186
 199310 245979
 199311 354081
 199312 234538
 199401 141473
 199402 138792
 199403 181300
 199404 205777
 199405 214892
 199406 400834
 199407 317867
 199408 255134
 199409 312097
 199410 402632
 199411 392712
 199412 336000
 199501 137780
 199502 177794
 199503 224687
 199504 264774
 199505 374503
 199506 200612
 199507 126141
 199508 229390
 199509 175256
 199510 229249
 199511 317440
 199512 234422
 199601 118329
 199602 138771
 199603 208547
 199604 174523
 199605 148789
 199606 232817
 199607 210615
 199608 288996
 199609 156118
 199610 259837
 199611 293172
 199612 166844
 199701 184421
 199702 125679
 199703 208164
 199704 238733
 199705 280063
 199706 302919
 199707 380183
 199708 463875
 199709 268310
 199710 382964
 199711 440898
 199712 291644
 199801 419603
 199802 273624
 199803 322242
 199804 341717
 199805 383735
 199806 356651
 199807 486583
 199808 482477
 199809 251572
 199810 451326
 199811 334516
 199812 388365
 199901 300062
 199902 212095
 199903 398024
 199904 456008
 199905 368680
 199906 413645
 199907 359761
 199908 349426
 199909 285267
 199910 380964
 199911 433608
 199912 540640
 200001 165082
 200002 273923
 200003 388536
 200004 446505
 200005 359247
 200006 564199
 200007 482869
 200008 350801
 200009 327516
 200010 443408
 200011 435961
 200012 338397
 200101 225231
 200102 246075
 200103 401358
 200104 320636
 200105 455047
 200106 1590007
 200107 723829
 200108 838606
 200109 449840
 200110 611973
 200111 749281
 200112 777103
 200201 570883
 200202 461257
 200203 414091
 200204 665564
 200205 661714
 200206 561799
 200207 1001177
 200208 539944
 200209 454199
 200210 901639
 200211 464883
 200212 526407
 200301 797199
 200302 527820
 200303 1210603
 200304 545804
 200305 631225
 200306 358568
 200307 1032018
 200308 609953
 200309 335630
 200310 390226
 200311 281194
 200312 467453
 200401 409409
 200402 438270
 200403 486277
 200404 414697
 200405 377289
 200406 581511
 200407 1047253
 200408 809710
 200409 357616
 200410 646756
 200411 731316
 200412 1143421
 200501 495460
 200502 552079
 200503 977356
 200504 812706
 200505 839269
 200506 1125865
 200507 1138002
 200508 892340
 200509 529129
 200510 851666
 200511 1327183
 200512 900942
 200601 1197160
 200602 645153
 200603 1233332
 200604 1118670
 200605 1229455
 200606 1179674
 200607 987382
 200608 1287756
 200609 900310
 200610 1167605
 200611 1164056
 200612 1132420
 200701 994542
 200702 1260135
 200703 1354525
 200704 848199
 200705 1185421
 200706 1167460
 200707 689259
 200708 559290
 200709 450343
 200710 828402
 200711 699679
 200712 854688
 200801 1461399
 200802 757422
 200803 895528
 200804 1773781
 200805 233675
 200806 481063
 200807 724821
 200808 935344
 200809 525498
 200810 519722
 200811 1016813
 200812 728434
 200901 1020460
 200902 1395074
 200903 1338132
 200904 772621
 200905 579200
 200906 901017
 200907 1025661
 200908 806189
 200909 489408
 200910 489210
 200911 659674
 200912 687984
 201001 546874
 201002 871109
 201003 1187508
 201004 832217
 201005 733316
 201006 543490
 201007 731482
 201008 548811
 201009 359782
 201010 627999
 201011 472198
 201012 613235
 201101 395732
 201102 369784
 201103 397919
 201104 310198
 201105 320351
 201106 268725
 201107 284149
 201108 287633
 201109 205186
 201110 243639
 201111 160886
 201112 174166
 201201 133276
 201202 223444
 201203 132438
 201204 124838
 201205 175096
 201206 152142
 201207 128297
 201208 149111
 201209 132525
 201210 100160
 201211 97105
 201212 203505
 201301 98287
 201302 94547
 201303 144226
 201304 158408
 201305 138977
 201306 88974
 201307 141563
 201308 145644
 201309 156720
 201310 147434
 201311 139452
 201312 248356
 201401 118251
 201402 90030
 201403 184995
 201404 195973
 201405 208996
 201406 140594
 201407 296908
 201408 174710
 201409 110092
 201410 170252
 201411 225452
 201412 204971
 201501 113795
 201502 147825
 201503 251871
 201504 197291
 201505 339815
 201506 287830
 201507 241601
 201508 111329
 201509 117826
 201510 200048
 201511 105677
 201512 121124
 201601 175583
 201602 115188
 201603 209670
 201604 136933
 201605 227180
 201606 174204
 201607 205317
 201608 329381
 201609 178092
 201610 229225
 201611 176866
 201612 208153
 201701 251062
 201702 195652
 201703 257315
 201704 176774
 201705 241582
 201706 269041
 201707 326514
 201708 396888
 201709 309148
 201710 291145
 201711 335418
 201712 407366
 201801 281643
 201802 303416
 201803 496916
 201804 20690
 201805 95205
 201806 127668
 201807 132743
 201808 145469
 201809 161388
 201810 182508
 201811 252322
 201812 259421
 201901 162558
 201902 200922
 201903 201930
 201904 207121
 201905 290184
 201906 258150
 201907 196223
 201908 175969
 201909 127878
 201910 496803
 201911 149492
 201912 409986
 202001 330787
 202002 260522
 202003 158448
 202004 86930
 202005 451996
 202006 329874
 202007 484436
 202008 215398
 202009 395337
 202010 45152
 202011 25608


