# Created by Octave 4.2.0, Sun Feb 12 12:20:49 2023 CET <marcos@encina>
# name: X351020
# type: matrix
# rows: 431
# columns: 2
 198703 0
 198704 -19.2
 198705 -11.6
 198706 -5.7
 198707 -9.300000000000001
 198708 -6.7
 198709 -4.3
 198710 -11
 198711 -11.7
 198712 -11
 198801 -5.2
 198802 -10.7
 198803 -13.1
 198804 -4.5
 198805 -9.300000000000001
 198806 -8.5
 198807 -8.4
 198808 -14.6
 198809 -13.8
 198810 -7.3
 198811 -2
 198812 -5.2
 198901 -2.1
 198902 -6.5
 198903 -4.3
 198904 -2.6
 198905 -5.1
 198906 -5.2
 198907 -5.5
 198908 -4.8
 198909 -13.7
 198910 -8.699999999999999
 198911 -12.1
 198912 -12.4
 199001 -11.8
 199002 -15.3
 199003 -11.4
 199004 -18.4
 199005 -24.8
 199006 -15.7
 199007 -23.5
 199008 -27.1
 199009 -29
 199010 -28.2
 199011 -30.3
 199012 -23.5
 199101 -30.4
 199102 -34.1
 199103 -42.3
 199104 -47.4
 199105 -38.9
 199106 -42
 199107 -40.6
 199108 -32.3
 199109 -39.6
 199110 -31.5
 199111 -29.4
 199112 -36.1
 199201 -37.7
 199202 -40.9
 199203 -36.4
 199204 -33
 199205 -37.1
 199206 -43.6
 199207 -41
 199208 -41.3
 199209 -42.2
 199210 -50.6
 199211 -54.1
 199212 -57.5
 199301 -64.2
 199302 -58.7
 199303 -61.6
 199304 -60.5
 199305 -61.1
 199306 -62.3
 199307 -59.4
 199308 -59
 199309 -48.4
 199310 -46.7
 199311 -48.8
 199312 -47.1
 199401 -36
 199402 -41.7
 199403 -28.9
 199404 -20
 199405 -23.1
 199406 -18.3
 199407 -11.8
 199408 -7.8
 199409 -14.4
 199410 -4.5
 199411 -5.8
 199412 -2
 199501 3.3
 199502 2.1
 199503 1.7
 199504 4.1
 199505 -5.2
 199506 -9.9
 199507 -8.699999999999999
 199508 -14.1
 199509 -17.1
 199510 -17.5
 199511 -17
 199512 -20
 199601 -28.1
 199602 -25.8
 199603 -27.5
 199604 -27.7
 199605 -26.7
 199606 -25.9
 199607 -18.3
 199608 -23.9
 199609 -15.1
 199610 -14.9
 199611 -15.8
 199612 -16.3
 199701 -13.4
 199702 -10.8
 199703 -5.3
 199704 -4.5
 199705 -2.5
 199706 -2.2
 199707 0.6
 199708 2.5
 199709 12.3
 199710 6.2
 199711 9.699999999999999
 199712 4.5
 199801 9.199999999999999
 199802 8.6
 199803 6.6
 199804 5.9
 199805 4.5
 199806 10.7
 199807 13.2
 199808 6.3
 199809 -2.4
 199810 -4.1
 199811 -4.1
 199812 -3
 199901 -7.3
 199902 -9.5
 199903 -0.4
 199904 -3
 199905 -2.5
 199906 -3
 199907 -1.5
 199908 -3.8
 199909 0.7
 199910 3.8
 199911 5.2
 199912 3.6
 200001 2.5
 200002 6.8
 200003 8.5
 200004 6.3
 200005 7.7
 200006 10.6
 200007 1
 200008 0
 200009 5
 200010 2.4
 200011 1.3
 200012 1.4
 200101 -0.4
 200102 -2.9
 200103 -1.8
 200104 -7.3
 200105 -0.2
 200106 -4.6
 200107 -3.2
 200108 -10.7
 200109 -10.5
 200110 -8.300000000000001
 200111 -14.5
 200112 -14.6
 200201 -19.8
 200202 -13.1
 200203 -15.7
 200204 -12.9
 200205 -10.2
 200206 -11.2
 200207 -11.5
 200208 -9.4
 200209 -15.1
 200210 -11.9
 200211 -12.5
 200212 -11.9
 200301 -12.9
 200302 -9.4
 200303 -14.1
 200304 -12.2
 200305 -12.9
 200306 -17.5
 200307 -15.5
 200308 -4.9
 200309 -8.5
 200310 -8.5
 200311 -6.9
 200312 -9.1
 200401 -9
 200402 -8.800000000000001
 200403 -13.3
 200404 -7.7
 200405 -8.300000000000001
 200406 -3.6
 200407 -3
 200408 -5.3
 200409 -5.5
 200410 0.4
 200411 -4.2
 200412 -7
 200501 -3.9
 200502 -10.9
 200503 -12.2
 200504 -13.7
 200505 -13.2
 200506 -12.5
 200507 -5.2
 200508 -5.7
 200509 -4.2
 200510 -8.4
 200511 -7.1
 200512 -0.1
 200601 -9.199999999999999
 200602 -5.2
 200603 -1.4
 200604 -1.8
 200605 1.2
 200606 2.8
 200607 1.3
 200608 1.1
 200609 3.6
 200610 3.2
 200611 5.1
 200612 12.2
 200701 7.5
 200702 6.5
 200703 5.9
 200704 9.300000000000001
 200705 3.8
 200706 1.9
 200707 6.7
 200708 6.1
 200709 1.1
 200710 -4.7
 200711 3.6
 200712 -2.8
 200801 -4.1
 200802 -7.8
 200803 -6.4
 200804 -11.4
 200805 -18.6
 200806 -21
 200807 -27.7
 200808 -25.7
 200809 -34.2
 200810 -38.8
 200811 -45.6
 200812 -54.9
 200901 -49
 200902 -59.9
 200903 -58.8
 200904 -59.3
 200905 -57.4
 200906 -56.8
 200907 -57.2
 200908 -53.7
 200909 -50.5
 200910 -47.7
 200911 -51.4
 200912 -46.9
 201001 -48.4
 201002 -47.4
 201003 -40.9
 201004 -38.5
 201005 -34.9
 201006 -33.9
