# Created by Octave 4.2.0, Sun Feb 12 12:20:49 2023 CET <marcos@encina>
# name: X234200
# type: matrix
# rows: 407
# columns: 2
 198901 637049
 198902 531733
 198903 406705
 198904 553472
 198905 461373
 198906 771044
 198907 454401
 198908 2438234
 198909 853479
 198910 1104384
 198911 660182
 198912 501827
 199001 377021
 199002 397509
 199003 551296
 199004 600435
 199005 509256
 199006 819714
 199007 728060
 199008 1274753
 199009 615334
 199010 792483
 199011 877742
 199012 516299
 199101 626711
 199102 648997
 199103 621219
 199104 893246
 199105 779396
 199106 775284
 199107 744551
 199108 317242
 199109 293508
 199110 477854
 199111 468907
 199112 344320
 199201 249352
 199202 546687
 199203 498757
 199204 413645
 199205 356577
 199206 632197
 199207 988737
 199208 499100
 199209 412395
 199210 983757
 199211 610546
 199212 1496552
 199301 248423
 199302 462981
 199303 597338
 199304 956987
 199305 988860
 199306 1015585
 199307 1333423
 199308 829446
 199309 462689
 199310 863891
 199311 893962
 199312 1064822
 199401 282264
 199402 446327
 199403 675819
 199404 519586
 199405 893023
 199406 825403
 199407 985787
 199408 886192
 199409 1228326
 199410 896024
 199411 733450
 199412 1438269
 199501 383929
 199502 602773
 199503 656999
 199504 741392
 199505 971895
 199506 417858
 199507 230138
 199508 313754
 199509 258120
 199510 520185
 199511 559418
 199512 1041033
 199601 301956
 199602 400864
 199603 813187
 199604 1208129
 199605 506224
 199606 624286
 199607 960498
 199608 903022
 199609 700412
 199610 1060142
 199611 592790
 199612 1057338
 199701 340311
 199702 303279
 199703 271243
 199704 500611
 199705 694949
 199706 633023
 199707 785634
 199708 1028801
 199709 518297
 199710 1079508
 199711 937884
 199712 907379
 199801 573255
 199802 502781
 199803 1449823
 199804 536515
 199805 599031
 199806 1436372
 199807 1539194
 199808 1221100
 199809 1303621
 199810 951316
 199811 1052663
 199812 1827186
 199901 653815
 199902 681531
 199903 659245
 199904 1020364
 199905 1194309
 199906 1197601
 199907 1315239
 199908 715393
 199909 646134
 199910 767998
 199911 902858
 199912 1705963
 200001 671687
 200002 788547
 200003 1107918
 200004 796444
 200005 1672290
 200006 686586
 200007 1148887
 200008 692512
 200009 611367
 200010 941361
 200011 1387064
 200012 1235347
 200101 1541162
 200102 300832
 200103 689085
 200104 964645
 200105 1109544
 200106 1442052
 200107 2322672
 200108 1828822
 200109 1533072
 200110 2170926
 200111 1166599
 200112 1271229
 200201 1360272
 200202 686393
 200203 1240442
 200204 1065074
 200205 987133
 200206 1430360
 200207 3575761
 200208 1340585
 200209 760094
 200210 1974530
 200211 2471544
 200212 2718424
 200301 1376797
 200302 848195
 200303 2638475
 200304 1262393
 200305 2389844
 200306 1534616
 200307 1366079
 200308 937256
 200309 971762
 200310 1299202
 200311 904640
 200312 1170355
 200401 1476932
 200402 2096467
 200403 2289281
 200404 1246830
 200405 756848
 200406 2721196
 200407 3455755
 200408 2248469
 200409 784531
 200410 1117537
 200411 1165534
 200412 1504768
 200501 2578756
 200502 1000619
 200503 1933570
 200504 1814796
 200505 1907363
 200506 1823938
 200507 1972049
