# Created by Octave 4.2.0, Sun Feb 12 12:20:49 2023 CET <marcos@encina>
# name: X271400
# type: matrix
# rows: 576
# columns: 2
 197501 1805
 197502 1678
 197503 1615
 197504 1996
 197505 2186
 197506 2790
 197507 3502
 197508 2514
 197509 2094
 197510 2030
 197511 1518
 197512 1686
 197601 1703
 197602 1633
 197603 2399
 197604 2437
 197605 2594
 197606 3224
 197607 3937
 197608 2499
 197609 1928
 197610 2063
 197611 1995
 197612 1922
 197701 2277
 197702 2201
 197703 3676
 197704 3136
 197705 3509
 197706 3879
 197707 4714
 197708 3408
 197709 2946
 197710 2885
 197711 2619
 197712 2049
 197801 2504
 197802 1894
 197803 2925
 197804 3079
 197805 3642
 197806 4847
 197807 5225
 197808 3995
 197809 3542
 197810 3493
 197811 3120
 197812 2426
 197901 2999
 197902 2915
 197903 3707
 197904 3603
 197905 4893
 197906 5795
 197907 7578
 197908 5364
 197909 4110
 197910 3599
 197911 2984
 197912 2859
 198001 3284
 198002 3115
 198003 3239
 198004 3162
 198005 3857
 198006 4320
 198007 5745
 198008 3593
 198009 2987
 198010 3630
 198011 2344
 198012 2100
 198101 2516
 198102 2069
 198103 2918
 198104 2970
 198105 3401
 198106 4653
 198107 6380
 198108 3350
 198109 2755
 198110 3455
 198111 2716
 198112 2485
 198201 2478
 198202 2362
 198203 2876
 198204 3259
 198205 3883
 198206 4794
 198207 6450
 198208 3876
 198209 3269
 198210 3045
 198211 2459
 198212 2557
 198301 3025
 198302 2070
 198303 3233
 198304 2721
 198305 3764
 198306 4793
 198307 6423
 198308 4145
 198309 3534
 198310 3727
 198311 2503
 198312 2223
 198401 2804
 198402 1915
 198403 2083
 198404 2568
 198405 2743
 198406 3449
 198407 5261
 198408 3462
 198409 2506
 198410 2696
 198411 1906
 198412 1586
 198501 2320
 198502 1927
 198503 2420
 198504 2743
 198505 2925
 198506 3873
 198507 6171
 198508 4069
 198509 3057
 198510 3831
 198511 2353
 198512 3215
 198601 1982
 198602 1713
 198603 2648
 198604 3407
 198605 4325
 198606 5541
 198607 7647
 198608 4325
 198609 3127
 198610 4252
 198611 3590
 198612 3264
 198701 2954
 198702 2854
 198703 4521
 198704 5338
 198705 5764
 198706 6830
 198707 9291
 198708 5574
 198709 4624
 198710 5169
 198711 4135
 198712 3733
 198801 4333
 198802 3886
 198803 5720
 198804 5568
 198805 7909
 198806 9810
 198807 11772
 198808 8450
 198809 6199
 198810 6136
 198811 5369
 198812 4798
 198901 6176
 198902 5189
 198903 7521
 198904 7517
 198905 10455
 198906 14050
 198907 17002
 198908 11111
 198909 7558
 198910 8875
 198911 6941
 198912 5269
 199001 7291
 199002 7148
 199003 9944
 199004 9294
 199005 13111
 199006 14207
 199007 17406
 199008 11688
 199009 7956
 199010 8580
 199011 6855
 199012 5045
 199101 7275
 199102 6148
 199103 8459
 199104 10570
 199105 12860
 199106 14550
 199107 19134
 199108 11137
 199109 8635
 199110 9243
 199111 6174
 199112 4589
 199201 6624
 199202 6704
 199203 9764
 199204 10954
 199205 11722
 199206 12301
 199207 14942
 199208 7091
 199209 6193
 199210 5007
 199211 4076
 199212 5211
 199301 2957
 199302 3295
 199303 4203
 199304 5430
 199305 5217
 199306 6575
 199307 7341
 199308 3908
 199309 3677
 199310 2985
 199311 2548
 199312 2581
 199401 2624
 199402 2306
 199403 3329
 199404 2661
 199405 3150
 199406 3736
 199407 4414
 199408 3038
 199409 2782
 199410 2378
 199411 2187
 199412 2252
 199501 2608
 199502 2495
 199503 3809
 199504 2740
 199505 4296
 199506 3980
 199507 3862
 199508 2570
 199509 2297
 199510 2401
 199511 2109
 199512 1513
 199601 1923
 199602 1787
 199603 2278
 199604 2935
 199605 3385
 199606 3539
 199607 4137
 199608 2339
 199609 2100
 199610 2837
 199611 1966
 199612 1975
 199701 2099
 199702 2283
 199703 2939
 199704 3822
 199705 3991
 199706 4523
 199707 5597
 199708 3098
 199709 3668
 199710 4234
 199711 2892
 199712 2677
 199801 3068
 199802 3079
 199803 4445
 199804 4642
 199805 4863
 199806 6013
 199807 7966
 199808 4301
 199809 4477
 199810 4797
 199811 4182
 199812 4145
 199901 3637
 199902 3944
 199903 5795
 199904 5891
 199905 6800
 199906 8905
 199907 9734
 199908 5114
 199909 5609
 199910 5126
 199911 4301
 199912 3847
 200001 3905
 200002 5418
 200003 9161
 200004 5720
 200005 6892
 200006 8310
