# Created by Octave 4.2.0, Sun Feb 12 12:20:49 2023 CET <marcos@encina>
# name: X234000
# type: matrix
# rows: 407
# columns: 2
 198901 799895
 198902 649772
 198903 550070
 198904 713630
 198905 707932
 198906 1025291
 198907 763802
 198908 2654382
 198909 1053550
 198910 1460652
 198911 1021853
 198912 688399
 199001 579117
 199002 572933
 199003 721287
 199004 765497
 199005 803782
 199006 1140024
 199007 960057
 199008 1569717
 199009 850288
 199010 1142055
 199011 1303265
 199012 720307
 199101 771062
 199102 862914
 199103 902200
 199104 1170832
 199105 1064820
 199106 979459
 199107 975170
 199108 521467
 199109 467650
 199110 721210
 199111 795618
 199112 467510
 199201 491194
 199202 672777
 199203 626363
 199204 531395
 199205 562379
 199206 882093
 199207 1280814
 199208 813535
 199209 581812
 199210 1314082
 199211 961488
 199212 1791686
 199301 403016
 199302 673353
 199303 841464
 199304 1215921
 199305 1537116
 199306 1371060
 199307 1698805
 199308 1111322
 199309 664874
 199310 1109870
 199311 1248043
 199312 1299361
 199401 423737
 199402 585119
 199403 857119
 199404 725363
 199405 1107915
 199406 1226236
 199407 1303655
 199408 1141326
 199409 1540423
 199410 1298656
 199411 1126161
 199412 1774269
 199501 521709
 199502 780567
 199503 881686
 199504 1006166
 199505 1346398
 199506 618470
 199507 356279
 199508 543144
 199509 433376
 199510 749434
 199511 876857
 199512 1275455
 199601 420285
 199602 539635
 199603 1021734
 199604 1382652
 199605 655013
 199606 857103
 199607 1171113
 199608 1192018
 199609 856530
 199610 1319980
 199611 885962
 199612 1224182
 199701 524732
 199702 428958
 199703 479407
 199704 739344
 199705 975011
 199706 935942
 199707 1165817
 199708 1492676
 199709 786608
 199710 1462472
 199711 1378781
 199712 1199023
 199801 992858
 199802 776405
 199803 1772065
 199804 878232
 199805 982766
 199806 1793023
 199807 2025777
 199808 1703576
 199809 1555194
 199810 1402642
 199811 1387180
 199812 2215552
 199901 953877
 199902 893626
 199903 1057269
 199904 1476372
 199905 1562988
 199906 1611246
 199907 1675000
 199908 1064819
 199909 931401
 199910 1148962
 199911 1336466
 199912 2246603
 200001 836769
 200002 1062470
 200003 1496455
 200004 1242949
 200005 2031537
 200006 1250785
 200007 1631756
 200008 1043313
 200009 938883
 200010 1384769
 200011 1823025
 200012 1573743
 200101 1766393
 200102 546907
 200103 1090443
 200104 1285280
 200105 1564591
 200106 3032059
 200107 3046501
 200108 2667428
 200109 1982911
 200110 2782898
 200111 1915880
 200112 2048331
 200201 1931154
 200202 1147650
 200203 1654533
 200204 1730639
 200205 1648847
 200206 1992159
 200207 4576939
 200208 1880529
 200209 1214293
 200210 2876169
 200211 2936426
 200212 3244831
 200301 2173996
 200302 1376014
 200303 3849078
 200304 1808197
 200305 3021069
 200306 1893183
 200307 2398097
 200308 1547209
 200309 1307391
 200310 1689428
 200311 1185835
 200312 1637808
 200401 1886341
 200402 2534738
 200403 2775559
 200404 1661526
 200405 1134137
 200406 3302707
 200407 4503008
 200408 3058180
 200409 1142148
 200410 1764293
 200411 1896850
 200412 2648189
 200501 3074216
 200502 1552698
 200503 2910926
 200504 2627502
 200505 2746632
 200506 2949803
 200507 3110051
 200508 3684033
 200509 2166218
 200510 2870150
 200511 2711865
 200512 3048476
 200601 3843430
 200602 1686533
 200603 3447732
 200604 3300016
 200605 4630965
 200606 3273029
 200607 3132878
 200608 4830461
 200609 2715058
 200610 4533049
 200611 3937881
 200612 4874275
 200701 3910221
 200702 2636333
 200703 3520008
 200704 2899833
 200705 4135677
 200706 3866542
 200707 3779430
 200708 2133533
 200709 1566207
 200710 3021531
 200711 2401660
 200712 3528456
 200801 3819908
 200802 3033142
 200803 6001923
 200804 4985038
 200805 1373070
 200806 1281469
 200807 3383917
 200808 2343383
 200809 2209135
 200810 2630635
 200811 3106825
 200812 4259239
 200901 3023005
 200902 4748204
 200903 4379688
 200904 2526852
 200905 1969355
 200906 2489274
 200907 3366049
 200908 2549922
 200909 1928839
 200910 1718287
 200911 2093183
 200912 4527774
 201001 1360992
 201002 2013855
 201003 2397812
 201004 1807257
 201005 1976759
 201006 1933682
 201007 1482555
 201008 1792181
 201009 1615589
 201010 1654288
 201011 1782027
 201012 1742237
 201101 1054144
 201102 1088880
 201103 1022637
 201104 827932
 201105 1291405
 201106 842292
 201107 827252
 201108 879152
 201109 919192
 201110 462499
 201111 1061268
 201112 542305
 201201 339428
 201202 962826
 201203 331013
 201204 373046
 201205 1295244
 201206 423674
 201207 411573
 201208 439100
 201209 325512
 201210 354502
 201211 323292
 201212 328900
 201301 363806
 201302 531564
 201303 455149
 201304 385346
 201305 425603
 201306 457598
 201307 792281
 201308 780871
 201309 414923
 201310 560181
 201311 657712
 201312 1091701
 201401 973316
 201402 785407
 201403 905556
 201404 595603
 201405 975545
 201406 475009
 201407 1020574
 201408 641168
 201409 512868
 201410 900652
 201411 590646
 201412 829290
 201501 495280
 201502 433698
 201503 1051403
 201504 887034
 201505 1147304
 201506 738391
 201507 644557
 201508 342361
 201509 383531
 201510 721358
 201511 361574
 201512 506421
 201601 364314
 201602 493934
 201603 1031465
 201604 610073
 201605 448688
 201606 606778
 201607 691089
 201608 886130
 201609 462018
 201610 616948
 201611 479903
 201612 695196
 201701 638827
 201702 543402
 201703 586511
 201704 498745
 201705 728534
 201706 703836
 201707 787545
 201708 1240116
 201709 752070
 201710 1269471
 201711 952280
 201712 1487698
 201801 987186
 201802 761395
 201803 1390916
 201804 163458
 201805 220021
 201806 493803
 201807 722687
 201808 1524089
 201809 306837
 201810 822662
 201811 661845
 201812 647326
 201901 1985388
 201902 443455
 201903 745419
 201904 761245
 201905 703566
 201906 783523
 201907 1398201
 201908 583486
 201909 359326
 201910 666414
 201911 334830
 201912 1023913
 202001 1215639
 202002 1161275
 202003 402063
 202004 201290
 202005 799219
 202006 737839
 202007 1059614
 202008 717822
 202009 832966
 202010 873287
 202011 821568
 202012 1600541
 202101 1066205
 202102 975389
 202103 1076452
 202104 1813542
 202105 1455888
 202106 1640284
 202107 2089814
 202108 2051397
 202109 1553782
 202110 2010688
 202111 1667328
 202112 2149415
 202201 2087882
 202202 1107040
 202203 2036358
 202204 1490343
 202205 2003137
 202206 2122349
 202207 2144542
 202208 2763613
 202209 1529465
 202210 2484594
 202211 2655941


