# Created by Octave 4.2.0, Sun Feb 12 12:20:49 2023 CET <marcos@encina>
# name: X241401
# type: matrix
# rows: 288
# columns: 2
 199901 10406.167
 199902 11451.1
 199903 14212.113
 199904 17472.798
 199905 21966.528
 199906 24313.223
 199907 28531.434
 199908 31967.269
 199909 26750.512
 199910 21402.806
 199911 11875.758
 199912 10189.931
 200001 9828.017
 200002 11453.033
 200003 14537.79
 200004 18006.005
 200005 20998.662
 200006 24084.087
 200007 28181.545
 200008 31282.474
 200009 26175.432
 200010 20400.125
 200011 11871.141
 200012 10325.261
 200101 10132.886
 200102 11753.586
 200103 14516.657
 200104 18085.751
 200105 21063.744
 200106 23896.573
 200107 28657.024
 200108 32004.309
 200109 26584.837
 200110 20014.768
 200111 11920.037
 200112 10051.397
 200201 9797.644
 200202 11501.625
 200203 15746.849
 200204 15757.341
 200205 20427.391
 200206 22781.459
 200207 27712.422
 200208 32147.463
 200209 25483.036
 200210 19395.671
 200211 11536.07
 200212 10267.81
 200301 10088.783
 200302 11135.676
 200303 14414.114
 200304 17483.719
 200305 20977.54
 200306 24047.255
 200307 28557.092
 200308 33851.008
 200309 25943.815
 200310 19635.547
 200311 11600.24
 200312 10426.118
 200401 10404.685
 200402 12278.676
 200403 14731.784
 200404 17537.681
 200405 20624.722
 200406 23776.94
 200407 29131.986
 200408 34472.302
 200409 26878.757
 200410 21180.295
 200411 12294.55
 200412 11384.786
 200501 11088.055
 200502 12430.71
 200503 16184.767
 200504 16480.644
 200505 22318.874
 200506 25042.689
 200507 31022.067
 200508 35857.571
 200509 28313.666
 200510 22163.277
 200511 13162.42
 200512 11572.418
 200601 12075.662
 200602 13221.07
 200603 16370.344
 200604 21185.887
 200605 23734.897
 200606 27996.368
 200607 34105.558
 200608 37636.214
 200609 29918.731
 200610 23372.257
 200611 14269.663
 200612 13141.207
 200701 12356.394
 200702 13555.04
 200703 17428.802
 200704 21690.169
 200705 23486.608
 200706 28459.008
 200707 34315.59
 200708 38132.493
 200709 30142.242
 200710 23476.804
 200711 15289.839
 200712 13356.493
 200801 12710.146
 200802 14831.691
 200803 19216.126
 200804 19300.764
 200805 25060.656
 200806 27737.509
 200807 34559.658
 200808 37945.216
 200809 29305.643
 200810 22253.202
 200811 13685.099
 200812 11946.13
 200901 11203.819
 200902 12527.991
 200903 15536.341
 200904 19591.068
 200905 22661.503
 200906 26082.353
 200907 32764.251
 200908 36192.581
 200909 27387.006
 200910 21752.259
 200911 13255.271
 200912 12030.368
 201001 11308.373
 201002 13108.75
 201003 16752.851
 201004 19843.019
 201005 23982.979
 201006 27357.01
 201007 34909.44
 201008 39085.826
 201009 29696.355
 201010 23976.893
 201011 14363.392
 201012 12778.595
 201101 12183.118
 201102 14238.644
 201103 18086.818
 201104 22618.769
 201105 24670.723
 201106 30704.218
 201107 37980.214
 201108 41694.917
 201109 32099.863
 201110 24764.256
 201111 14674.921
 201112 13044.798
 201201 12600.203
 201202 14163.457
 201203 17393.498
 201204 21445.224
 201205 24628.932
 201206 30243.838
 201207 37395.658
 201208 40581.091
 201209 32045.387
 201210 23909.187
 201211 13854.509
 201212 12398.564
 201301 11887.105
 201302 13104.722
 201303 18815.829
 201304 19135.958
 201305 26359.256
 201306 30808.604
 201307 37670.863
 201308 41900.828
 201309 32647.844
 201310 25015.77
 201311 15087.587
 201312 13595.795
 201401 12807.505
 201402 13875.208
 201403 18129.451
 201404 22298.622
 201405 26691.702
 201406 31567.799
 201407 37641.54
 201408 42991.384
 201409 33858.937
 201410 26243.441
 201411 15113.125
 201412 14041.916
 201501 13342.087
 201502 14513.335
 201503 18596.568
 201504 23087.381
 201505 28041.622
 201506 32092.513
 201507 39850.064
 201508 44813.404
 201509 34918.861
 201510 28073.79
 201511 15862.738
 201512 15043.365
 201601 14470.851
 201602 16379.849
 201603 22022.933
 201604 23056.973
 201605 30401.275
 201606 34430.872
 201607 42948.946
 201608 46502.956
 201609 37218.422
 201610 30587.997
 201611 17134.705
 201612 16013.165
 201701 15200.69
 201702 16346.534
 201703 20508.641
 201704 27549.426
 201705 31439.92
 201706 36646.402
 201707 43624.461
 201708 46657.187
 201709 37961.599
 201710 30898.617
 201711 17537.436
 201712 16211.799
 201801 15395.882
 201802 16527.859
 201803 21918.931
 201804 25207.35
 201805 31921.157
 201806 36168.465
 201807 42717.096
 201808 46306.24
 201809 37768.667
 201810 31132.356
 201811 18261.076
 201812 16655.848
 201901 15506.154
 201902 16589.486
 201903 21520.914
 201904 26808.982
 201905 31905.788
 201906 37163.185
 201907 43199.53
 201908 47059.511
 201909 37572.668
 201910 30363.238
 201911 18339.394
 201912 16966.744
 202001 15968.171
 202002 17614.206
 202003 8372.82
 202004 0.001
 202005 271.149
 202006 1870.057
 202007 11731.245
 202008 16927.211
 202009 8219.093999999999
 202010 5128.825
 202011 2874.269
 202012 3245.991
 202101 2459.473
 202102 2436.961
 202103 3588.559
 202104 4142.415
 202105 7342.738
 202106 14259.621
 202107 26351.353
 202108 34460.041
 202109 25679.512
 202110 23935.219
 202111 14930.647
 202112 13220.155
 202201 10535.401
 202202 13619.131
 202203 17641.307
 202204 25143.654
 202205 29840.173
 202206 35179.402
 202207 42354.522
 202208 46293.221
 202209 35926.328
 202210 30008.639
 202211 17593.73
 202212 16600.547


