# Created by Octave 4.2.0, Sun Feb 12 12:20:49 2023 CET <marcos@encina>
# name: X332200
# type: matrix
# rows: 440
# columns: 2
 198606 2.5
 198607 2.8
 198608 4
 198609 0.4
 198610 0.6
 198611 0.9
 198612 2
 198701 -2.5
 198702 -4.4
 198703 -5.4
 198704 -5.1
 198705 -4.1
 198706 -1.6
 198707 0.1
 198708 1.4
 198709 2.9
 198710 3.2
 198711 -1
 198712 -2
 198801 -1.6
 198802 -0.8
 198803 1.8
 198804 2.7
 198805 2.4
 198806 3.6
 198807 3
 198808 4.4
 198809 2.5
 198810 1.4
 198811 0.5
 198812 1.7
 198901 2.4
 198902 0.6
 198903 -2.3
 198904 -0.5
 198905 -0.7
 198906 3.9
 198907 0.8
 198908 3.7
 198909 1.1
 198910 4.8
 198911 4
 198912 5.6
 199001 4.3
 199002 3.1
 199003 -1.2
 199004 -0.8
 199005 -1.3
 199006 -0.4
 199007 3.2
 199008 -0.3
 199009 -27.4
 199010 -15.8
 199011 -11.4
 199012 -8.199999999999999
 199101 -24.4
 199102 -13.2
 199103 1.8
 199104 -2.9
 199105 0.6
 199106 -1.1
 199107 -1.7
 199108 -3.8
 199109 0.5
 199110 -3.6
 199111 -6
 199112 -9.9
 199201 -9.5
 199202 -10.4
 199203 -15.2
 199204 -15.2
 199205 -19.6
 199206 -20.8
 199207 -27.2
 199208 -36.2
 199209 -35.2
 199210 -38.2
 199211 -35.5
 199212 -35.5
 199301 -28.3
 199302 -30.8
 199303 -26.4
 199304 -19.5
 199305 -14.1
 199306 -25.2
 199307 -18.8
 199308 -30.2
 199309 -26.4
 199310 -23.8
 199311 -27.4
 199312 -22.9
 199401 -27.4
 199402 -20.2
 199403 -19.4
 199404 -16.8
 199405 -9.800000000000001
 199406 -5
 199407 -1.5
 199408 0.6
 199409 3.7
 199410 -3.1
 199411 -1.2
 199412 -1.3
 199501 -6.2
 199502 -6.3
 199503 -12.1
 199504 -9.1
 199505 -6.4
 199506 -9.6
 199507 -9.6
 199508 -6.4
 199509 -5.4
 199510 -10.5
 199511 -5
 199512 -7
 199601 -1.9
 199602 -2.9
 199603 1
 199604 -0.7
 199605 -0.5
 199606 1.9
 199607 -6.1
 199608 -4.9
 199609 -6.4
 199610 -4.1
 199611 -5.2
