# Created by Octave 4.2.0, Sun Feb 12 12:20:49 2023 CET <marcos@encina>
# name: X271200
# type: matrix
# rows: 756
# columns: 2
 196001 3360
 196002 4385
 196003 4055
 196004 5380
 196005 6309
 196006 4024
 196007 4371
 196008 3884
 196009 2903
 196010 3732
 196011 3662
 196012 4189
 196101 5062
 196102 5304
 196103 5886
 196104 4978
 196105 4743
 196106 4457
 196107 6418
 196108 6433
 196109 5562
 196110 7143
 196111 6770
 196112 6370
 196201 7345
 196202 6730
 196203 7294
 196204 6564
 196205 7494
 196206 6840
 196207 6962
 196208 5432
 196209 5253
 196210 8334
 196211 8163
 196212 6656
 196301 8026
 196302 7674
 196303 7914
 196304 8461
 196305 7876
 196306 7083
 196307 7958
 196308 4842
 196309 5003
 196310 9201
 196311 8667
 196312 8490
 196401 8454
 196402 9542
 196403 10342
 196404 10577
 196405 9588
 196406 11529
 196407 11686
 196408 7915
 196409 9028
 196410 12870
 196411 12857
 196412 12579
 196501 10223
 196502 12107
 196503 13982
 196504 13091
 196505 13424
 196506 14416
 196507 16124
 196508 8788
 196509 11619
 196510 14401
 196511 14991
 196512 16126
 196601 13481
 196602 15829
 196603 19882
 196604 18281
 196605 22561
 196606 23443
 196607 24040
 196608 18604
 196609 18903
 196610 24107
 196611 25655
 196612 25887
 196701 22285
 196702 24544
 196703 22479
 196704 27053
 196705 25580
 196706 27118
 196707 25351
 196708 15511
 196709 22249
 196710 23766
 196711 24293
 196712 24798
 196801 20063
 196802 22656
 196803 27626
 196804 27485
 196805 28802
 196806 27830
 196807 31907
 196808 20079
 196809 22370
 196810 28899
 196811 26350
 196812 25813
 196901 27069
 196902 27477
 196903 35830
 196904 32323
 196905 37033
 196906 37990
 196907 38091
 196908 25849
 196909 24251
 196910 35118
 196911 28527
 196912 28209
 197001 29983
 197002 37186
 197003 39778
 197004 41632
 197005 36644
 197006 38369
 197007 40531
 197008 28818
 197009 26845
 197010 29451
 197011 25121
 197012 24823
 197101 28835
 197102 33928
 197103 43269
 197104 40728
 197105 41142
 197106 44976
 197107 45667
 197108 30188
 197109 29671
 197110 32596
 197111 32204
 197112 29863
 197201 31966
 197202 38410
 197203 50407
 197204 41217
 197205 44541
 197206 49637
 197207 49698
 197208 34274
 197209 37535
 197210 42416
 197211 42034
 197212 44564
 197301 50915
 197302 44933
 197303 57709
 197304 50636
 197305 49977
 197306 53382
 197307 51981
 197308 33617
 197309 42935
 197310 54794
 197311 54565
 197312 49732
 197401 47760
 197402 47654
 197403 59778
 197404 50254
 197405 49308
 197406 54737
 197407 61003
 197408 37653
 197409 40370
 197410 44303
 197411 42969
 197412 49934
 197501 43948
 197502 47214
 197503 46394
 197504 51488
 197505 43658
 197506 52136
 197507 61981
 197508 40590
 197509 35968
 197510 50693
 197511 48517
 197512 49601
 197601 49761
 197602 42762
 197603 59650
 197604 58365
 197605 56900
 197606 52200
 197607 63506
 197608 30258
 197609 43093
 197610 53449
 197611 53330
 197612 56403
 197701 49976
 197702 59221
 197703 69055
 197704 59554
 197705 64926
 197706 63592
 197707 65377
 197708 37467
 197709 46702
 197710 49938
 197711 50059
 197712 46992
 197801 50636
 197802 50962
 197803 69456
 197804 72807
 197805 60188
 197806 58801
 197807 53716
 197808 41416
 197809 48016
 197810 51817
 197811 52226
 197812 43992
 197901 59374
 197902 43428
 197903 56098
 197904 51679
 197905 67079
 197906 55960
 197907 54722
 197908 43834
 197909 47005
 197910 44955
 197911 59949
 197912 36569
 198001 37905
 198002 45194
 198003 50833
 198004 47518
 198005 58254
 198006 44363
 198007 51821
 198008 35478
 198009 45684
 198010 59943
 198011 50357
 198012 46799
 198101 39502
 198102 39137
 198103 40881
 198104 47581
 198105 49368
 198106 44997
 198107 48687
 198108 30494
 198109 34648
 198110 42910
 198111 39933
 198112 47684
 198201 41873
 198202 43091
 198203 53729
 198204 44875
 198205 45669
 198206 46931
 198207 53236
 198208 30694
 198209 33788
 198210 45873
 198211 48932
 198212 47072
 198301 48602
 198302 42331
 198303 55121
 198304 45002
 198305 53608
 198306 45945
 198307 49753
 198308 36967
 198309 35288
 198310 46017
 198311 44190
 198312 47544
 198401 47643
 198402 39716
 198403 46422
 198404 50404
 198405 50643
 198406 41744
 198407 56412
 198408 36192
 198409 30697
 198410 43257
 198411 40266
 198412 38833
 198501 46744
 198502 37549
 198503 54185
 198504 51643
 198505 43781
 198506 42720
 198507 66489
 198508 33391
 198509 32927
 198510 57521
 198511 49047
 198512 59054
 198601 29324
 198602 41089
 198603 55732
 198604 52388
 198605 59408
 198606 67567
 198607 82716
 198608 44394
 198609 45734
 198610 71291
 198611 68449
 198612 70984
 198701 59510
 198702 68650
 198703 84380
 198704 86095
 198705 80228
 198706 79878
 198707 110543
 198708 59501
 198709 55764
 198710 78690
 198711 78445
 198712 86266
 198801 81012
 198802 81713
 198803 104756
 198804 95242
 198805 97714
 198806 102203
 198807 106479
 198808 76448
 198809 68378
 198810 85320
 198811 88928
 198812 95943
 198901 86803
 198902 97215
 198903 109422
 198904 94817
 198905 100780
 198906 117883
 198907 113877
 198908 75610
 198909 72586
 198910 94609
 198911 91543
 198912 93923
 199001 85485
 199002 84872
 199003 105810
 199004 91076
 199005 96563
 199006 93942
 199007 107857
 199008 75208
 199009 51847
 199010 77258
 199011 70702
 199012 66574
 199101 67999
 199102 70579
 199103 77765
 199104 82800
 199105 84266
 199106 84641
 199107 102484
 199108 60327
 199109 57349
 199110 81915
 199111 71270
 199112 72605
 199201 87948
 199202 87515
 199203 99159
 199204 94198
 199205 86356
 199206 96986
 199207 111299
 199208 51446
 199209 61318
 199210 74328
 199211 69780
 199212 88066
 199301 43143
 199302 60891
 199303 77092
 199304 67523
 199305 69437
 199306 77284
 199307 90287
 199308 49918
 199309 52187
 199310 58109
 199311 57910
 199312 71658
 199401 54977
 199402 64490
 199403 88819
 199404 72145
 199405 89907
 199406 98017
 199407 104812
 199408 65899
 199409 65201
 199410 71931
 199411 68761
 199412 93883
 199501 54513
 199502 66954
 199503 95812
 199504 74758
 199505 82887
 199506 104472
 199507 77071
 199508 53236
 199509 52302
 199510 63463
 199511 66334
 199512 78598
 199601 59913
 199602 77137
 199603 100551
 199604 79007
 199605 87914
 199606 83813
 199607 108708
 199608 55298
 199609 63498
 199610 84889
 199611 75800
 199612 91657
 199701 73652
 199702 78974
 199703 103278
 199704 95946
 199705 94226
 199706 100062
 199707 126439
 199708 64475
 199709 69501
 199710 95614
 199711 84340
 199712 104276
 199801 78256
 199802 94132
 199803 119928
 199804 108074
 199805 106827
 199806 124426
 199807 146729
 199808 72045
 199809 79380
 199810 110512
 199811 110553
 199812 127535
 199901 89063
 199902 115852
 199903 157077
 199904 120980
 199905 131023
 199906 155878
 199907 170422
 199908 89974
 199909 97462
 199910 121141
 199911 124066
 199912 130513
 200001 102859
 200002 129416
 200003 155433
 200004 130722
 200005 134991
 200006 152984
 200007 158375
 200008 90741
 200009 91538
 200010 106697
 200011 109140
 200012 102607
 200101 98854
 200102 123550
 200103 156510
 200104 127732
 200105 141471
 200106 157402
 200107 168514
 200108 93625
 200109 88246
 200110 118303
 200111 113488
 200112 111116
 200201 100564
 200202 110766
 200203 119562
 200204 119320
 200205 134665
 200206 131451
 200207 158181
 200208 85148
 200209 86657
 200210 118913
 200211 104099
 200212 120282
 200301 98424
 200302 105769
 200303 129118
 200304 129003
 200305 128330
 200306 147037
 200307 173071
 200308 90285
 200309 101615
 200310 132595
 200311 120524
 200312 136795
 200401 108817
 200402 130625
 200403 166062
 200404 136515
 200405 142295
 200406 170875
 200407 181139
 200408 98512
 200409 108920
 200410 130883
 200411 136870
 200412 142276
 200501 115394
 200502 130875
 200503 162060
 200504 146985
 200505 153558
 200506 173663
 200507 175896
 200508 107723
 200509 114825
 200510 119666
 200511 132625
 200512 143423
 200601 115493
